metro_2006_07,metro_2007_08,metro_2008_09,metro_2009_10,metro_2010_11,metro_2011_12,metro_2012_13,metro_2013_14,metro_2014_15,metro_2015_16,metro_2016_17,metro_2017_18,metro_arts_abc_1988_89,metro_arts_abc_1989_90,metro_arts_abc_1990_91,metro_arts_abc_1991_92,metro_arts_abc_1992_93,metro_arts_abc_1993_94,metro_arts_abc_1994_95,metro_arts_abc_1995_96,metro_arts_abc_1996_97,metro_arts_abc_1997_98,metro_arts_abc_1998_99,metro_arts_abc_1999_00,metro_arts_abc_2000_01,metro_arts_abc_2001_02,metro_arts_abc_2002_03,metro_arts_abc_2003_04,metro_arts_abc_2004_05,metro_arts_abc_2005_06,organization,thrive_2014_15,thrive_2015_16,thrive_2016_17,thrive_2017_18,totals
0,0,0,0,0,0,0,2650,0,7627,8115,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abrasiveMedia,0,0,0,0,27392
1948,1576,2397,2800,2500,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,2250,4500,5000,2850,5000,4500,2000,7500,3625,ACT I Theatre,0,0,0,0,55746
0,0,0,0,0,0,0,0,0,0,0,0,4000,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acting Studio,0,0,0,0,10000
9430,14610,39287,15800,42900,18260,27500,13750,33459,15210,22800,25000,0,0,0,0,0,0,0,0,0,0,3000,5000,5245,17500,15110,21200,54000,24413,Actor's Bridge Ensemble Theatre of Nashville,0,0,0,0,423474
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,Actor's Playhouse,0,0,0,0,6000
0,0,0,0,0,0,0,0,3500,3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,Adventure Science Center,0,0,0,0,8125
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Africa is…,0,0,0,3000,3000
0,3369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,2500,2500,0,0,0,0,0,0,0,0,0,0,1000,African American Cultural Alliance,0,0,0,0,12369
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Afrofuturism Dance,0,0,0,4000,4000
980,1198,917,11800,3200,7500,6800,11300,7612,8767,12085,10150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,ALIAS Chamber Ensemble,0,0,0,0,84294
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,American Artisan Festival,0,0,2350,0,2350
0,0,0,0,0,0,5270,3600,3150,0,0,0,0,0,0,0,0,0,0,12500,0,0,0,0,0,0,0,0,0,0,American Negro Playwright Theatre,0,0,0,0,24520
3935,6895,8384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9300,American Roots Music Education,0,0,0,0,28514
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,8000,6260,0,0,0,0,0,3500,0,0,Andrew Jackson's Hermitage,0,0,0,0,27760
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Art and Nature Adventures,0,0,2700,0,2700
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arte de Libertad/Freedom Arts,4000,0,0,0,4000
0,5622,6610,5800,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arts and Business Council of Greater Nashville,0,0,0,0,36032
0,0,0,0,0,0,0,0,0,0,0,0,0,5000,3000,2000,4700,0,5750,7500,7000,5535,3910,6775,4920,10125,8260,2000,0,0,Arts in the Airport,0,0,0,0,76475
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,4000,3800,0,0,0,0,0,ArtSynergy,0,0,0,0,12800
0,0,0,0,0,3400,17400,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asian American Performing Arts Society (DBA Dance Theatre of Tennessee),0,0,0,0,57800
0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Athena Fund,0,0,0,0,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,AthensSouth Theatre,0,0,0,0,1000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beautiful Brown Faces,0,0,4000,0,4000
32288,39752,69127,77500,78000,92000,88320,133500,130750,134180,153060,154500,0,0,0,0,0,0,0,0,0,0,0,0,3800,17500,13263,0,15200,38440,Belcourt Theatre,0,0,0,0,1271180
0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belle Meade Plantation,0,0,0,0,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bellevue Edible Learning Lab, Inc.",3745,0,0,0,3745
0,0,0,1900,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bellevue Exchange Club,0,0,0,0,7900
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,4000,7500,5000,7000,2350,0,0,0,0,3750,0,0,0,0,Bethlehlem Center,0,0,0,0,31400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blackbird,0,0,0,4000,4000
0,0,0,0,0,0,0,5650,6336,3925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blackbird Theatre,0,0,0,0,15911
0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,Blair School of Music,0,0,0,0,3500
0,0,0,0,0,0,0,0,3600,3175,3750,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boys & Girls Club of Middle Tennessee (fiscal sponsor for Notes for Notes),0,0,0,0,16025
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bridging Two Rivers,0,8000,0,0,8000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,BroadAxe Theatre Inc.,0,0,0,0,8000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C.A.L.L. Project,4000,0,0,0,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C.O.L.O.R. Project,0,0,4000,0,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,1500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAAC Dance,0,0,0,0,4000
0,0,0,0,0,3500,4550,5000,5187,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Center for Refugees & Immigrants in Tennessee,0,0,0,0,22737
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,Centerstone,0,0,0,0,3500
195786,159632,136871,120000,114000,84000,80640,131000,127500,118183,134555,145500,11000,5000,4000,4000,35000,50000,40000,80000,83500,90000,139700,110000,110000,177250,206900,223000,208750,204340,Cheekwood,0,0,0,0,3330107
0,0,0,0,0,0,0,0,0,0,0,0,3750,3000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Children's Arts & Ideas,0,0,0,0,11750
2757,3954,4645,5700,4900,5500,4225,7750,6910,6165,6525,7050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,9500,7448,Chinese Arts Alliance of Nashville,0,0,0,0,87829
0,0,0,,0,0,0,0,5435,8200,6060,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choral Arts Link,0,0,0,0,39695
0,3540,2256,6500,13600,10500,9000,8900,10021,8750,9815,15500,5000,3000,1000,500,5000,16000,10600,14387,11500,11000,6976,8500,7500,10415,0,0,0,0,Circle Players,0,0,0,0,209760
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Civil Rap Movement,4000,0,0,0,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cleveland Park Community Mural,4000,0,0,0,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cleveland Park Neighborhood Story Project,0,4000,0,0,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,Community Concerts Inc.,0,0,0,0,1500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,2500,2500,0,0,0,0,0,0,0,0,Community Resource Center,0,0,0,0,6000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2000,0,0,Concert Chorale,0,0,0,0,4500
0,0,0,0,0,5000,4100,5000,4200,0,4550,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conexion Americas,0,0,0,0,28350
186947,223687,193129,141000,135000,125500,120480,131000,127500,129000,148625,116700,20000,5000,4000,0,35000,40000,55000,65000,65000,65000,40000,50000,42000,54000,70240,125000,42807,195012,Country Music Foundation (DBA Country Music Hall of Fame and Museum),0,0,0,0,2751627
